"filename", "language", "Vue.js", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Code\TowerDesign\Front\src\App.vue", "Vue.js", 38, 0, 0, 0, 0, 8, 5, 51
"d:\Code\TowerDesign\Front\src\abandon\Main.vue", "Vue.js", 110, 0, 0, 0, 0, 5, 8, 123
"d:\Code\TowerDesign\Front\src\abandon\SubjectDetail\CourseContent.vue", "Vue.js", 85, 0, 0, 0, 0, 0, 7, 92
"d:\Code\TowerDesign\Front\src\abandon\SubjectDetail\Introduce.vue", "Vue.js", 25, 0, 0, 0, 0, 0, 4, 29
"d:\Code\TowerDesign\Front\src\abandon\SubjectDetail\Main.vue", "Vue.js", 74, 0, 0, 0, 0, 0, 4, 78
"d:\Code\TowerDesign\Front\src\abandon\Welcome\Main.vue", "Vue.js", 23, 0, 0, 0, 0, 0, 5, 28
"d:\Code\TowerDesign\Front\src\abandon\construction\Main.vue", "Vue.js", 562, 0, 0, 0, 0, 13, 27, 602
"d:\Code\TowerDesign\Front\src\abandon\history\AddNewCourse.vue", "Vue.js", 17, 0, 0, 0, 0, 0, 5, 22
"d:\Code\TowerDesign\Front\src\abandon\history\Dialog.vue", "Vue.js", 28, 0, 0, 0, 0, 0, 3, 31
"d:\Code\TowerDesign\Front\src\abandon\history\FrontKnowShow.vue", "Vue.js", 75, 0, 0, 0, 0, 2, 12, 89
"d:\Code\TowerDesign\Front\src\abandon\label.js", "JavaScript", 0, 33, 0, 0, 0, 0, 8, 41
"d:\Code\TowerDesign\Front\src\abandon\mainAband.js", "JavaScript", 0, 97, 0, 0, 0, 8, 18, 123
"d:\Code\TowerDesign\Front\src\abandon\search.vue", "Vue.js", 93, 0, 0, 0, 0, 1, 9, 103
"d:\Code\TowerDesign\Front\src\abandon\tower\Main.vue", "Vue.js", 210, 0, 0, 0, 0, 3, 9, 222
"d:\Code\TowerDesign\Front\src\abandon\tower\detail\Main.vue", "Vue.js", 557, 0, 0, 0, 0, 15, 17, 589
"d:\Code\TowerDesign\Front\src\assets\DataAn.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Code\TowerDesign\Front\src\assets\data.json", "JSON", 0, 0, 19, 0, 0, 0, 1, 20
"d:\Code\TowerDesign\Front\src\assets\gitlab.css", "CSS", 0, 0, 0, 553, 0, 7, 124, 684
